session_id,keywords,video_viewcount,video_favourite_count,video_rating_count,video_rating_average,video_comments_count,like_count,dislike_count,uploader_followers_count,uploader_video_count,uploader_friends,uploader_views_count,uploader_age,max_quality,video_age
32,16,6461,4,7,4.428571,4,5.99999925,1.00000075,15,26,18,52777,26.9357713,4,790.9808796
32,16,6467,4,7,4.428571,4,5.99999925,1.00000075,15,26,18,53311,26.9357713,4,797.9829861
32,16,6467,4,7,4.428571,4,5.99999925,1.00000075,15,26,18,53868,26.9357713,4,804.9864352
11,46,95352,307,138,4.9710145,107,137.0000003,0.99999975,873,106,272,1576096,26.9357713,5,263.6750694
11,46,101126,318,155,4.9741936,110,154.000002,0.999998,921,106,286,1673349,26.9357713,5,270.6792245
11,46,106812,338,165,4.9757576,114,164.000001,0.999999,975,106,302,1772719,26.9357713,5,277.6842245
34,16,7953,50,42,5,14,42,0.1,4,6,0.1,21643,27.1078534,2,1067.642639
34,16,7979,51,42,5,14,42,0.1,4,6,0.1,21693,27.1078534,2,1074.658021
34,16,8017,51,42,5,14,42,0.1,4,6,0.1,21772,27.1078534,2,1096.208194
44,5,476,0.1,0.1,0.1,0.1,0.1,0.1,9,37,18,25025,27,1,479.2367245
44,5,480,0.1,0.1,0.1,0.1,0.1,0.1,9,37,18,25746,27,1,486.2422569
44,5,485,0.1,0.1,0.1,0.1,0.1,0.1,9,37,18,26511,16,1,493.2492593
24,4,4518,6,0.1,0.1,1,0.1,0.1,0.1,6,0.1,8987,32,1,1067.81919
24,4,4533,6,0.1,0.1,1,0.1,0.1,0.1,6,0.1,9007,32,1,1074.821863
24,4,4541,6,0.1,0.1,1,0.1,0.1,0.1,6,0.1,9017,32,1,1081.823808
14,2,9606,1,14,4.428571,12,11.9999985,2.0000015,23,60,13,88922,19,1,70.79369213
14,2,9859,2,14,4.428571,12,11.9999985,2.0000015,23,61,14,91901,19,1,78.77627315
14,2,10599,2,15,4.2,13,12,3,24,61,15,95145,19,1,85.85478009
2,4,26348,96,44,4.818182,17,42.000002,1.999998,261,21,86,2458395,26.9357713,2,1270.08184
2,4,26618,96,44,4.818182,17,42.000002,1.999998,261,21,86,2461619,26.9357713,2,1277.099225
2,4,26830,97,45,4.822222,17,42.9999975,2.0000025,260,21,86,2464938,26.9357713,2,1284.102442
44,7,125833,117,41,4.609756,9,37,4,11,4,4,210842,26.9357713,1,1352.995231
44,7,126003,117,42,4.6190476,9,38,4,11,4,4,211447,26.9357713,1,1360.005532
44,7,126183,118,42,4.6190476,9,38,4,11,4,4,212092,26.9357713,1,1367.013171
8,6,346822,181,221,4.7466063,172,206.9999981,14.00000193,3874,390,299,8068305,33,5,256.1062616
8,6,356388,186,226,4.7522125,176,212.0000063,13.99999375,4129,390,321,8579082,33,5,264.0888194
8,6,368256,195,231,4.757576,179,217.000014,13.999986,4346,395,331,9103126,33,5,271.1668634
16,3,5265,6,10,5,1,10,0.1,10,8,0.1,7791,26.9357713,2,385.7546412
16,3,5561,6,11,5,1,11,0.1,10,8,0.1,8198,26.9357713,2,392.7602778
16,3,5794,7,12,5,1,12,0.1,10,8,0.1,8595,26.9357713,2,399.7628356
2,5,272,2,1,5,0.1,1,0.1,0.1,1,0.1,273,30,1,736.3596412
2,5,275,2,1,5,0.1,1,0.1,0.1,1,0.1,275,30,1,743.3768519
2,5,275,2,1,5,0.1,1,0.1,0.1,1,0.1,275,30,1,750.381412
44,1,33383,52,14,4.428571,13,12,2,28,80,15,445029,27,1,1015.562488
44,1,33398,52,14,4.428571,13,12,2,29,80,15,450150,27,1,1022.570764
44,1,33413,52,14,4.428571,13,12,2,29,80,15,455257,27,1,1029.576366
12,6,355351,524,160,4.875,88,155,5,50,38,0.1,419197,20,3,219.7784144
12,6,368385,547,165,4.878788,90,160.000005,4.999995,50,38,0.1,434084,20,3,226.7829514
12,6,380976,557,173,4.884393,92,167.9999973,5.00000275,51,40,0.1,449127,20,3,233.787338
26,4,19429,24,35,4.6571426,32,32,3,161,158,68,1355972,20,5,209.5836458
26,4,19603,24,35,4.6571426,32,32,3,182,141,74,1487849,20,5,216.5864583
26,4,19752,25,35,4.6571426,32,32,3,195,147,79,1627811,20,5,223.5898958
44,6,524,1,0.1,0.1,0.1,0.1,0.1,3,1,24,524,28,1,679.5529282
44,6,528,1,0.1,0.1,0.1,0.1,0.1,3,1,24,528,28,1,686.5611343
